id_SubFed;category;year;amount
10;Количество уволенных служащих пребывавших в должности менее 1 года;2021;29
10;Количество служащих уволенных в связи с сокращением штатной численности, преобразованием государственных органов;2021;12
10;Количество служащих предупрежденных о предстоящем возможном увольнении;2021;0
11;Уволены на отчетную дату по инициативе служащего;2021;245
11;Уволены на отчетную дату по инициативе представителя нанимателя ;2021;8
11;Уволены на отчетную дату по истечению срока срочного служебного контракта;2021;15
11;Уволены на отчетную дату по иным основаниям ;2021;17
11;Количество служащих уволенных по достижению предельного возраста пребывания на службе;2021;4
11;Количество уволенных служащих пребывавших в должности менее 1 года;2021;60
11;Количество служащих уволенных в связи с сокращением штатной численности, преобразованием государственных органов;2021;12
11;Количество служащих предупрежденных о предстоящем возможном увольнении;2021;15
12;Уволены на отчетную дату по инициативе служащего;2021;186
12;Уволены на отчетную дату по инициативе представителя нанимателя ;2021;3
12;Уволены на отчетную дату по истечению срока срочного служебного контракта;2021;20
12;Уволены на отчетную дату по иным основаниям ;2021;26
12;Количество служащих уволенных по достижению предельного возраста пребывания на службе;2021;3
12;Количество уволенных служащих пребывавших в должности менее 1 года;2021;63
12;Количество служащих уволенных в связи с сокращением штатной численности, преобразованием государственных органов;2021;3
12;Количество служащих предупрежденных о предстоящем возможном увольнении;2021;12
13;Уволены на отчетную дату по инициативе служащего;2021;134
13;Уволены на отчетную дату по инициативе представителя нанимателя ;2021;5
13;Уволены на отчетную дату по истечению срока срочного служебного контракта;2021;15
13;Уволены на отчетную дату по иным основаниям ;2021;5
13;Количество служащих уволенных по достижению предельного возраста пребывания на службе;2021;1
13;Количество уволенных служащих пребывавших в должности менее 1 года;2021;39
13;Количество служащих уволенных в связи с сокращением штатной численности, преобразованием государственных органов;2021;6
13;Количество служащих предупрежденных о предстоящем возможном увольнении;2021;12
