id_SubFed;categoty;period;year;amount
10;Количество граждан, поступивших на государственную службу в соответствии с договором о целевом обучении;АППГ;2021;0
10;Количество граждан, поступивших на государственную службу в соответствии с договором о целевом обучении;с начала отчетного года;2021;0
11;Количество граждан, заключивших договор о целевом обучении;АППГ;2021;0
11;Количество граждан, заключивших договор о целевом обучении;с начала отчетного года;2021;0
11;Количество граждан, получивших профессиональное образование в соответствии с договором о целевом обучении;АППГ;2021;0
11;Количество граждан, получивших профессиональное образование в соответствии с договором о целевом обучении;с начала отчетного года;2021;0
11;Количество граждан, поступивших на государственную службу в соответствии с договором о целевом обучении;АППГ;2021;0
11;Количество граждан, поступивших на государственную службу в соответствии с договором о целевом обучении;с начала отчетного года;2021;0
12;Количество граждан, заключивших договор о целевом обучении;АППГ;2021;0
12;Количество граждан, заключивших договор о целевом обучении;с начала отчетного года;2021;0
12;Количество граждан, получивших профессиональное образование в соответствии с договором о целевом обучении;АППГ;2021;1
12;Количество граждан, получивших профессиональное образование в соответствии с договором о целевом обучении;с начала отчетного года;2021;3
12;Количество граждан, поступивших на государственную службу в соответствии с договором о целевом обучении;АППГ;2021;0
12;Количество граждан, поступивших на государственную службу в соответствии с договором о целевом обучении;с начала отчетного года;2021;0
13;Количество граждан, заключивших договор о целевом обучении;АППГ;2021;0
13;Количество граждан, заключивших договор о целевом обучении;с начала отчетного года;2021;0
13;Количество граждан, получивших профессиональное образование в соответствии с договором о целевом обучении;АППГ;2021;0
13;Количество граждан, получивших профессиональное образование в соответствии с договором о целевом обучении;с начала отчетного года;2021;0
13;Количество граждан, поступивших на государственную службу в соответствии с договором о целевом обучении;АППГ;2021;0
13;Количество граждан, поступивших на государственную службу в соответствии с договором о целевом обучении;с начала отчетного года;2021;0
