id_SubFed;result;period;year;amount
9;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;АППГ;2021;0
9;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;с начала отчетного года;2021;2
9;не соответствуют замещаемой должности;АППГ;2021;0
9;не соответствуют замещаемой должности;с начала отчетного года;2021;0
10;соответствуют замещаемой должности;АППГ;2021;49
10;соответствуют замещаемой должности;с начала отчетного года;2021;75
10;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;АППГ;2021;8
10;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;с начала отчетного года;2021;23
10;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;АППГ;2021;0
10;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;с начала отчетного года;2021;1
10;не соответствуют замещаемой должности;АППГ;2021;0
10;не соответствуют замещаемой должности;с начала отчетного года;2021;0
11;соответствуют замещаемой должности;АППГ;2021;187
11;соответствуют замещаемой должности;с начала отчетного года;2021;304
11;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;АППГ;2021;31
11;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;с начала отчетного года;2021;86
11;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;АППГ;2021;10
11;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;с начала отчетного года;2021;5
11;не соответствуют замещаемой должности;АППГ;2021;0
11;не соответствуют замещаемой должности;с начала отчетного года;2021;0
12;соответствуют замещаемой должности;АППГ;2021;96
12;соответствуют замещаемой должности;с начала отчетного года;2021;147
12;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;АППГ;2021;3
12;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;с начала отчетного года;2021;15
12;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;АППГ;2021;0
12;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;с начала отчетного года;2021;1
12;не соответствуют замещаемой должности;АППГ;2021;0
12;не соответствуют замещаемой должности;с начала отчетного года;2021;0
13;соответствуют замещаемой должности;АППГ;2021;74
13;соответствуют замещаемой должности;с начала отчетного года;2021;68
13;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;АППГ;2021;40
13;соответствуют замещаемой должности и рекомендованы к включению в кадровый резерв;с начала отчетного года;2021;46
13;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;АППГ;2021;0
13;соответствуют замещаемой должности при условии успешного получения дополнительного профессионального образования;с начала отчетного года;2021;0
13;не соответствуют замещаемой должности;АППГ;2021;0
13;не соответствуют замещаемой должности;с начала отчетного года;2021;0
