id_SubFed;category;year;amount
8;количество лиц, назначенных на вакантную должность по результатам конкурса;2021;31
8;количество лиц, включенных в кадровый резерв, по результатам конкурса на замещение;2021;59
8;количество лиц, включенных в кадровый резерв, по результатам конкурса на включение в кадровый резерв;2021;282
8;количество лиц, не участвовавших в конкурсе по причине признания конкурса несостоявшимся;2021;16
9;подали документы на замещение вакантных должностей государственной службы;2021;522
9;в эл. виде подали документы на замещение вакантных должностей государственной службы;2021;76
9;подали документы на включение в кадровый резерв;2021;155
9;в эл. виде подали документы на включение в кадровый резерв;2021;26
9;количество лиц, не допущенных для участия в конкурсе;2021;85
9;количество лиц, не прошедших конкурсный отбор;2021;275
9;количество лиц, назначенных на вакантную должность по результатам конкурса;2021;96
9;количество лиц, включенных в кадровый резерв, по результатам конкурса на замещение;2021;110
9;количество лиц, включенных в кадровый резерв, по результатам конкурса на включение в кадровый резерв;2021;92
9;количество лиц, не участвовавших в конкурсе по причине признания конкурса несостоявшимся;2021;19
10;подали документы на замещение вакантных должностей государственной службы;2021;25
10;в эл. виде подали документы на замещение вакантных должностей государственной службы;2021;0
10;подали документы на включение в кадровый резерв;2021;234
10;в эл. виде подали документы на включение в кадровый резерв;2021;2
10;количество лиц, не допущенных для участия в конкурсе;2021;2
10;количество лиц, не прошедших конкурсный отбор;2021;166
10;количество лиц, назначенных на вакантную должность по результатам конкурса;2021;5
10;количество лиц, включенных в кадровый резерв, по результатам конкурса на замещение;2021;2
10;количество лиц, включенных в кадровый резерв, по результатам конкурса на включение в кадровый резерв;2021;79
10;количество лиц, не участвовавших в конкурсе по причине признания конкурса несостоявшимся;2021;5
11;подали документы на замещение вакантных должностей государственной службы;2021;25
11;в эл. виде подали документы на замещение вакантных должностей государственной службы;2021;0
11;подали документы на включение в кадровый резерв;2021;802
11;в эл. виде подали документы на включение в кадровый резерв;2021;85
11;количество лиц, не допущенных для участия в конкурсе;2021;18
11;количество лиц, не прошедших конкурсный отбор;2021;291
11;количество лиц, назначенных на вакантную должность по результатам конкурса;2021;7
11;количество лиц, включенных в кадровый резерв, по результатам конкурса на замещение;2021;16
11;количество лиц, включенных в кадровый резерв, по результатам конкурса на включение в кадровый резерв;2021;468
11;количество лиц, не участвовавших в конкурсе по причине признания конкурса несостоявшимся;2021;27
12;подали документы на замещение вакантных должностей государственной службы;2021;15
12;в эл. виде подали документы на замещение вакантных должностей государственной службы;2021;0
12;подали документы на включение в кадровый резерв;2021;229
12;в эл. виде подали документы на включение в кадровый резерв;2021;7
12;количество лиц, не допущенных для участия в конкурсе;2021;4
12;количество лиц, не прошедших конкурсный отбор;2021;28
12;количество лиц, назначенных на вакантную должность по результатам конкурса;2021;4
12;количество лиц, включенных в кадровый резерв, по результатам конкурса на замещение;2021;8
12;количество лиц, включенных в кадровый резерв, по результатам конкурса на включение в кадровый резерв;2021;199
12;количество лиц, не участвовавших в конкурсе по причине признания конкурса несостоявшимся;2021;1
13;подали документы на замещение вакантных должностей государственной службы;2021;127
13;в эл. виде подали документы на замещение вакантных должностей государственной службы;2021;12
13;подали документы на включение в кадровый резерв;2021;140
13;в эл. виде подали документы на включение в кадровый резерв;2021;14
13;количество лиц, не допущенных для участия в конкурсе;2021;12
13;количество лиц, не прошедших конкурсный отбор;2021;147
13;количество лиц, назначенных на вакантную должность по результатам конкурса;2021;26
13;количество лиц, включенных в кадровый резерв, по результатам конкурса на замещение;2021;7
13;количество лиц, включенных в кадровый резерв, по результатам конкурса на включение в кадровый резерв;2021;65
13;количество лиц, не участвовавших в конкурсе по причине признания конкурса несостоявшимся;2021;10
