id_SubFed;appointmentReason;period;year;amount
11;ранее срока, установленного для прохождения службы в предыдущем классном чине;с начала отчетного года;2021;7
12;присвоен классный чин, без сдачи квалификационного экзамена;АППГ;2021;281
12;присвоен классный чин, без сдачи квалификационного экзамена;с начала отчетного года;2021;313
12;присвоен классный чин, по результатам квалификационного экзамена;АППГ;2021;77
12;присвоен классный чин, по результатам квалификационного экзамена;с начала отчетного года;2021;79
12;ранее срока, установленного для прохождения службы в предыдущем классном чине;АППГ;2021;12
12;ранее срока, установленного для прохождения службы в предыдущем классном чине;с начала отчетного года;2021;0
13;присвоен классный чин, без сдачи квалификационного экзамена;АППГ;2021;151
13;присвоен классный чин, без сдачи квалификационного экзамена;с начала отчетного года;2021;176
13;присвоен классный чин, по результатам квалификационного экзамена;АППГ;2021;9
13;присвоен классный чин, по результатам квалификационного экзамена;с начала отчетного года;2021;57
13;ранее срока, установленного для прохождения службы в предыдущем классном чине;АППГ;2021;0
13;ранее срока, установленного для прохождения службы в предыдущем классном чине;с начала отчетного года;2021;0
